dataset_id,display_name,dataset_type,disease,subtype,modality,data_level,source_name,n_cohorts_claimed,n_samples_claimed,n_samples_aligned,hpc_path,status,intake_qc_status,harmonization_status,analysis_qc_status,atlas_role,inclusion_decision,owner,download_date,register_date,last_update,notes
INT_Novogene_LLC_scRNA_3grp6samp_20260330_v1,"Novogene LLC scRNA 3-group 6-sample (internally generated, mouse C57BL/6)",internally_curated,Lung Cancer,Other,scrna,raw,Novogene (in-house sequencing),3,6,NA,NA,downloaded,pending,pending,pending,undecided,pending,Morgen,2026-03-30,2026-07-19,2026-07-19,"Internally GENERATED scRNA-seq (not curated from external source). Mouse (C57BL/6) LLC lung cancer model. 3 groups (mc=空载对照, FL=野生型过表达, A1=致病突变体) x 2 replicates. 10x Chromium 3', Novogene sequencing. Species: mouse. Tracked independently from human atlas (DEC-001). TODO: Extend schema to add IGEN prefix, internally_generated type, LLC subtype."
VEND_AIshixin_LUAD_Bulk_22Cohorts_3019_20260307_v1,AI生信 LUAD 22 cohorts 3019 samples,vendor_curated,Lung Cancer,LUAD,bulk,raw,AI生信,22,3019,NA,/data1/morgen/data_center/Lung_Cancer_2026/raw/vendor_original/VEND_AIshixin_LUAD_Bulk_22Cohorts_3019_20260307_v1,registered,pending,pending,pending,exploratory,conditional,Morgen,2026-03-04,2026-03-07,2026-03-07,Vendor-provided LUAD bulk package; pending intake QC
VEND_Test_LUAD_Bulk_Batch1_20260101_v1,Test Dataset VEND_Test_LUAD_Bulk_Batch1_20260101_v1,vendor_curated,Lung Cancer,LUAD,bulk,processed,TestVendor,3,30,NA,NA,registered,pending,pending,pending,undecided,pending,Morgen,2026-01-01,2026-03-27,2026-03-27,NA
VEND_Test_LUAD_Bulk_Batch2_20260101_v1,Test Dataset VEND_Test_LUAD_Bulk_Batch2_20260101_v1,vendor_curated,Lung Cancer,LUAD,bulk,processed,TestVendor,3,30,NA,NA,registered,pending,pending,pending,undecided,pending,Morgen,2026-01-01,2026-03-27,2026-03-27,NA
VEND_Test_LUAD_Bulk_Batch3_20260101_v1,Test Dataset VEND_Test_LUAD_Bulk_Batch3_20260101_v1,vendor_curated,Lung Cancer,LUAD,bulk,processed,TestVendor,3,30,NA,NA,registered,pending,pending,pending,undecided,pending,Morgen,2026-01-01,2026-03-27,2026-03-27,NA
VEND_Test_LUAD_Bulk_FailManifest_20260101_v1,Test Dataset VEND_Test_LUAD_Bulk_FailManifest_20260101_v1,vendor_curated,Lung Cancer,LUAD,bulk,processed,TestVendor,3,30,NA,NA,registered,pending,pending,pending,undecided,pending,Morgen,2026-01-01,2026-03-27,2026-03-27,NA
VEND_Test_LUAD_Bulk_FailQC_20260101_v1,Test Dataset VEND_Test_LUAD_Bulk_FailQC_20260101_v1,vendor_curated,Lung Cancer,LUAD,bulk,processed,TestVendor,3,30,NA,NA,registered,pending,pending,pending,undecided,pending,Morgen,2026-01-01,2026-03-27,2026-03-27,NA
VEND_Test_LUAD_Bulk_HappyPath_20260101_v1,Test Dataset VEND_Test_LUAD_Bulk_HappyPath_20260101_v1,vendor_curated,Lung Cancer,LUAD,bulk,processed,TestVendor,3,30,NA,NA,registered,pending,pending,pending,undecided,pending,Morgen,2026-01-01,2026-03-27,2026-03-27,NA
VEND_Test_LUAD_Bulk_Idempotent_20260101_v1,Test Dataset VEND_Test_LUAD_Bulk_Idempotent_20260101_v1,vendor_curated,Lung Cancer,LUAD,bulk,processed,TestVendor,3,30,NA,NA,registered,pending,pending,pending,undecided,pending,Morgen,2026-01-01,2026-03-27,2026-03-27,NA
VEND_Test_LUAD_Bulk_Resume_20260101_v1,Test Dataset VEND_Test_LUAD_Bulk_Resume_20260101_v1,vendor_curated,Lung Cancer,LUAD,bulk,processed,TestVendor,3,30,NA,NA,registered,pending,pending,pending,undecided,pending,Morgen,2026-01-01,2026-03-27,2026-03-27,NA
VEND_Test_LUAD_Bulk_WarningPath_20260101_v1,Test Dataset VEND_Test_LUAD_Bulk_WarningPath_20260101_v1,vendor_curated,Lung Cancer,LUAD,bulk,processed,TestVendor,3,30,NA,NA,registered,pending,pending,pending,undecided,pending,Morgen,2026-01-01,2026-03-27,2026-03-27,NA
